system,case,n,run_ids,replicates,final_actin_count_mean,final_actin_count_sd,final_actin_count_sem,final_actin_avg_len_mean,final_actin_avg_len_sd,final_actin_avg_len_sem,final_actin_max_len_mean,final_actin_max_len_sd,final_actin_max_len_sem,final_actin_total_len_mean,final_actin_total_len_sd,final_actin_total_len_sem,final_actin_off_len_mean,final_actin_off_len_sd,final_actin_off_len_sem,actin_total_len_change_mean,actin_total_len_change_sd,actin_total_len_change_sem,actin_total_len_fold_change_mean,actin_total_len_fold_change_sd,actin_total_len_fold_change_sem,final_mt_count_mean,final_mt_count_sd,final_mt_count_sem,final_mt_avg_len_mean,final_mt_avg_len_sd,final_mt_avg_len_sem,final_mt_max_len_mean,final_mt_max_len_sd,final_mt_max_len_sem,final_mt_total_len_mean,final_mt_total_len_sd,final_mt_total_len_sem,final_body_count_mean,final_body_count_sd,final_body_count_sem,final_mean_pairwise_dist_mean,final_mean_pairwise_dist_sd,final_mean_pairwise_dist_sem,final_min_pairwise_dist_mean,final_min_pairwise_dist_sd,final_min_pairwise_dist_sem,final_max_pairwise_dist_mean,final_max_pairwise_dist_sd,final_max_pairwise_dist_sem,final_mean_radius_from_centroid_mean,final_mean_radius_from_centroid_sd,final_mean_radius_from_centroid_sem,mean_body_displacement_mean,mean_body_displacement_sd,mean_body_displacement_sem,max_body_displacement_mean,max_body_displacement_sd,max_body_displacement_sem
large_system,01_actin_only_perinuclear_long,5,r0001;r0002;r0003;r0004;r0005,r0001;r0002;r0003;r0004;r0005,656.0,0.0,0.0,5.507,0.0,0.0,12.461,0.0,0.0,3612.6,0.0,0.0,6294.4,0.0,0.0,3324.6,0.0,0.0,12.54375,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,0.0,0.0,12.70361687326517,1.543285585264406,0.6901782954693519,7.528786717934632,2.2903990487061057,1.0242975937015408,16.28329487333412,1.8958178307958378,0.8478355085231375,7.926280357105779,0.9709917484099172,0.43424071100718964,9.330924393437773,4.381699038686416,1.9595553814896614,12.68538674606815,6.128519407111977,2.7407571991458175
large_system,02_fixed_mt_uniform_actin_long,5,r0006;r0007;r0008;r0009;r0010,r0001;r0002;r0003;r0004;r0005,192.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,3072.0,0.0,0.0,2203.4,0.0,0.0,2784.0,0.0,0.0,10.666666666666666,0.0,0.0,64.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,768.0,0.0,0.0,4.0,0.0,0.0,7.829877480395903,0.521466156162086,0.23320675462878904,4.395076765094433,0.7652232818980446,0.3422182552579024,10.834021949931596,0.45139488865130234,0.20186993114405208,4.877918884547796,0.3269874830621049,0.14623324798368553,8.880608756007126,2.3290511932582754,1.0415833582405007,12.185582427688773,2.3007345430325694,1.0289197672805481
large_system,03_growing_mt_uniform_actin_long,5,r0011;r0012;r0013;r0014;r0015,r0001;r0002;r0003;r0004;r0005,192.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,3072.0,0.0,0.0,2203.4,0.0,0.0,2784.0,0.0,0.0,10.666666666666666,0.0,0.0,64.0,0.0,0.0,1.5854,0.8193108689624471,0.36640695954089086,31.3916,13.498527875290698,6.03672518506516,101.46000000000001,52.40632595402964,23.436821456844356,4.0,0.0,0.0,13.477184665453501,1.8251305191986167,0.8162231817475183,6.591959904943633,3.647027350393662,1.6310002142562345,20.841209938690426,2.0110553067455155,0.8993712744789327,8.244269761209619,1.178452791053642,0.5270201098140599,9.318247245137417,1.8603294887645772,0.8319646394850051,15.120909907853402,3.027211971142088,1.353810349954968
large_system,04_fixed_mt_perinuclear_actin_long,5,r0016;r0017;r0018;r0019;r0020,r0001;r0002;r0003;r0004;r0005,656.0,0.0,0.0,5.507,0.0,0.0,12.461,0.0,0.0,3612.6,0.0,0.0,6294.4,0.0,0.0,3324.6,0.0,0.0,12.54375,0.0,0.0,64.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,768.0,0.0,0.0,4.0,0.0,0.0,6.964014787642188,1.0259563745316902,0.4588216390804186,4.028679283883976,0.7840842489842031,0.3506531361631097,9.579952550201128,1.1969150856968191,0.5352766989826148,4.343216915590568,0.6633520181752708,0.2966600411303163,8.784654229808936,2.7310440496861967,1.2213600289289297,11.111496290601858,2.119338971808541,0.9477972016656816
large_system,05_growing_mt_perinuclear_actin_long,5,r0021;r0022;r0023;r0024;r0025,r0001;r0002;r0003;r0004;r0005,656.0,0.0,0.0,5.507,0.0,0.0,12.461,0.0,0.0,3612.6,0.0,0.0,6294.4,0.0,0.0,3324.6,0.0,0.0,12.54375,0.0,0.0,64.0,0.0,0.0,2.101,0.8544492378134583,0.3821213158147553,35.58,8.911020508336854,3.9851295211071873,134.48,54.697001745982384,24.46124281388826,4.0,0.0,0.0,16.434369461301294,3.170188297773735,1.4177513070592833,7.075347938987639,1.9797066475438239,0.8853517278832415,24.526535019931377,2.934474614407108,1.3123369432123555,10.20952664424842,2.234237319750012,0.999181304965592,11.715655018369816,2.3898125875955767,1.068756679869676,18.109780041393417,3.124663399541726,1.3973919536361767
large_system,06_division_fixed_mt_perinuclear_actin_long,5,r0026;r0027;r0028;r0029;r0030,r0001;r0002;r0003;r0004;r0005,560.0,0.0,0.0,6.288,0.0,0.0,16.0,0.0,0.0,3521.2,0.0,0.0,3879.9,0.0,0.0,3377.2,0.0,0.0,24.452777777777776,0.0,0.0,64.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,768.0,0.0,0.0,4.0,0.0,0.0,7.399234803271116,1.0696630187743221,0.47836784459940357,4.317091200498658,1.1433128227748137,0.5113050382543306,9.924306675603416,1.57728034785094,0.7053812154738432,4.59930379041225,0.7036849968353402,0.314697497534109,nan,nan,nan,nan,nan,nan
large_system,07_division_growing_mt_perinuclear_actin_long,5,r0031;r0032;r0033;r0034;r0035,r0001;r0002;r0003;r0004;r0005,560.0,0.0,0.0,6.288,0.0,0.0,16.0,0.0,0.0,3521.2,0.0,0.0,3879.9,0.0,0.0,3377.2,0.0,0.0,24.452777777777776,0.0,0.0,64.0,0.0,0.0,2.3164,0.22504621747543319,0.10064372807085394,31.736400000000003,7.486426403832474,3.3480316695037406,148.26,14.410170019815864,6.444423946327552,4.0,0.0,0.0,10.907222869522439,0.9945387099750316,0.44477123235182375,3.6329151453963404,2.4349929913528205,1.0889619706800928,17.363525384961,2.5020700164601206,1.1189597282537693,6.932293984617902,0.6295185981524788,0.2815292757138632,nan,nan,nan,nan,nan,nan
small_system,01_actin_only_perinuclear_long,5,r0036;r0037;r0038;r0039;r0040,r0001;r0002;r0003;r0004;r0005,164.0,0.0,0.0,5.507,0.0,0.0,12.461,0.0,0.0,903.2,0.0,0.0,1573.6,0.0,0.0,831.2,0.0,0.0,12.544444444444444,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,0.0,0.0,5.372524804776522,0.5659724174264765,0.2531105597510976,3.0433782023023355,0.9492351946113022,0.42451088435722273,7.697795582935582,1.0279595671386037,0.4597174940486353,3.270809691811339,0.40647341347560295,0.18178043671556543,4.0262729364478105,0.6321107395488793,0.28268851658779176,5.692472352182193,1.177975758261457,0.5268067742638954
small_system,02_fixed_mt_uniform_actin_long,5,r0041;r0042;r0043;r0044;r0045,r0001;r0002;r0003;r0004;r0005,48.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,768.0,0.0,0.0,550.9,0.0,0.0,696.0,0.0,0.0,10.666666666666666,0.0,0.0,32.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,192.0,0.0,0.0,4.0,0.0,0.0,3.288840662008508,0.6016780766254812,0.26907861598118066,1.431585051691883,0.5419183192284949,0.24235324000946917,4.635118633275651,1.1261874363648738,0.5036463326236152,2.0710350466304375,0.3776230247394053,0.168878150637279,3.862593743383049,0.8915244051821032,0.3987018347174497,5.556168456625004,1.8351174361622344,0.8206894667907774
small_system,03_growing_mt_uniform_actin_long,5,r0046;r0047;r0048;r0049;r0050,r0001;r0002;r0003;r0004;r0005,48.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,768.0,0.0,0.0,550.9,0.0,0.0,696.0,0.0,0.0,10.666666666666666,0.0,0.0,32.0,0.0,0.0,0.6881999999999999,0.361387880261638,0.1616175733019154,9.5762,7.265237277611791,3.2491128850810953,22.02,11.553441045852963,5.166855910512698,4.0,0.0,0.0,9.069234397370838,1.6598313429065241,0.7422991427847502,1.0801635373062202,0.15953668337608967,0.07134697378675943,13.908208274512003,2.210930191343622,0.9887580402701912,5.90391257296657,1.0196148363505708,0.45598561698943996,7.59033107759255,0.9091005895071892,0.4065621433046414,9.67644574339731,1.687373154894943,0.7546162155506749
